지역구,지역명,주차 시작점,주차 종료점,구간길이,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,공휴일운영시작시각,공휴일운영종료시각,주차가능대수,관할동
인천광역시 부평구,부평동+산곡동,인천광역시 부평구 동아아파트2단지 21동 앞,인천광역시 부평구 산곡교회 삼거리,,,,,,,,80,
인천광역시 부평구,삼산동,인천광역시 부평구 부평북로360 롯데칠성주안대리점,인천광역시 부평구 부평북로380 참이맛감자탕,,21:00,07:00,00:00,23:59,00:00,23:59,50,
인천광역시 부평구,삼산동,인천광역시 부평구 삼산동행정복지센터,인천광역시 부평구 러브레터 앞(평천로 411-5),,21:00,06:00,00:00,23:59,00:00,23:59,15,
인천광역시 부평구,갈산동,인천광역시 부평구 부평북로308 세진주식회사 앞,인천광역시 부평구 부평북로318 신다우빌리지,,21:00,07:00,00:00,23:59,00:00,23:59,40,
인천광역시 부평구,삼산동,인천광역시 부평구 후정로 4 장성카센터,인천광역시 부평구 후정로 24-1 홈팰리스 앞,,22:00,06:00,00:00,23:59,00:00,23:59,20,
인천광역시 부평구,부개동,인천광역시 부평구 백영아파트(수변로 115)앞,인천광역시 부평구 글램오토스(수변로 95) 앞,,21:00,06:00,00:00,23:59,00:00,23:59,10,
인천광역시 부평구,산곡동,인천광역시 부평구 뉴서울2차아파트상가,인천광역시 부평구 경남5차아파트 정문(마장공원 쪽),,21:00,07:00,00:00,23:59,00:00,23:59,8,
인천광역시 부평구,부개동,인천광역시 부평구 수변로85번길31,인천광역시 부평구 부평문화로205,,22:01,06:59,22:01,06:59,22:01,06:59,4,
인천광역시 부평구,부평동,인천광역시 부평구 동수북로108번길 1,인천광역시 부평구 동수북로140,,12:00,14:00,00:00,23:59,00:00,23:59,45,
인천광역시 부평구,삼산동,인천광역시 부평구 삼산동 체육관 174번길(449번지)일원,인천광역시 부평구 호수마을,,22:01,05:59,,,,,120,
인천광역시 부평구,일신동,인천광역시 부평구 경인로1185번길12,인천광역시 부평구 경인로1191,,20:01,06:59,,,,,15,
인천광역시 부평구,청천동,인천광역시 부평구 새벼리사거리,인천광역시 부평구 부평북로 아이즈빌아울렛 북측(부평북로 87 와우테크앞),,,,,,00:00,23:59,45,
인천광역시 부평구,부평동,인천광역시 부평구 마장로55번길 백운역1번 출구 대주파크빌 뒷편 상가앞,인천광역시 부평구 브라운스톤 102동 앞,,21:01,06:59,,,,,60,
인천광역시 부평구,부평동,인천광역시 부평구 수변로 37번길 수변로41,인천광역시 부평구 수변로 37번길 수변로41,,20:01,06:59,,,,,4,
인천광역시 부평구,부개동,인천광역시 부평구 부평구 수변로 37번길15-3(오벨리스크 빌라),인천광역시 부평구 수변로37번길15-1(청담빌리지),,20:01,06:59,,,,,8,
인천광역시 부평구,부개동,인천광역시 부평구 부평구 수변로 37번길15-1 청담빌리지좌·우측,인천광역시 부평구 부평구 수변로 37번길15-1 청담빌리지좌·우측,,20:01,06:59,,,,,6,
인천광역시 부평구,산곡동,인천광역시 부평구 산곡동 현대1차아파트 입구(2001아울렛),인천광역시 부평구 산곡3동행정복지센터,,19:01,06:59,,,,,15,
인천광역시 부평구,부평동,인천광역시 부평구 부평대로 60(현대해상) 부평대로64번길,인천광역시 부평구 부평대로 60(현대해상) 부평대로64번길,,20:01,07:59,,,,,7,
인천광역시 부평구,부평동,인천광역시 부평구 부평대로 60(현대해상)주차장입구,인천광역시 부평구 주부토로 3,,20:01,07:59,,,,,10,
인천광역시 부평구,부평동,인천광역시 부평구 부평대로 60(현대해상)주차장입구 맞은편,인천광역시 부평구 주부토로 3 맞은편,,,,,,,,5,
인천광역시 부평구,갈산동,"인천광역시 부평구 부평대로 230(부평대로 접속부), 풍진빌딩앞 일면",인천광역시 부평구 부평대로 230(풍진빌딩 끝지점),,,,,,,,7,
인천광역시 부평구,갈산동,"인천광역시 부평구 갈산동 이안아파트 정문(부평대로296번길 접속부), 이안아파트쪽 일면",인천광역시 부평구 이안아파트 출입구(101동 앞) 이안아파트쪽 일면 단선,,19:01,08:59,,,,,5,
인천광역시 부평구,부평동,인천광역시 부평구 부평대로 32 문화부동산,인천광역시 부평구 부평문화로79번길 5 동아의류,,19:01,07:59,,,,,25,
인천광역시 부평구,부평동,인천광역시 부평구 부평대로36번길 2 대한보청기,인천광역시 부평구 부평문화로79번길 9 신세계팬션,,19:01,07:59,,,,,25,
인천광역시 부평구,부평동,인천광역시 부평구 부평대로 36-1 종로약국,인천광역시 부평구 부평문화로79번길 13 창이예쁜집,,19:01,07:59,,,,,20,
인천광역시 부평구,부평동,인천광역시 부평구 부평대로40번길 12 수가공예회,인천광역시 부평구 부평문화로 67 스파이더,,19:01,07:59,,,,,20,
인천광역시 부평구,부평동,인천광역시 부평구 부평대로40번길 24 남경 부대찌개&바지락칼국수,인천광역시 부평구 부평문화로 73 샤트렌,,19:01,07:59,,,,,20,
